date,developer,commits,bugs,total_commits,total_bugs,hr
200305,tigger,,9,0,9,developer
200306,tigger,,29,0,38,developer
200307,tigger,15,7,15,45,developer
200308,tigger,20,4,35,49,developer
200309,tigger,30,16,65,65,developer
200310,tigger,11,1,76,66,developer
200311,tigger,16,1,92,67,developer
200312,tigger,13,2,105,69,developer
200401,tigger,10,5,115,74,developer
200402,tigger,32,5,147,79,developer
200404,tigger,9,,156,79,developer
200405,tigger,,1,156,80,developer
200406,tigger,,1,156,81,developer
200407,tigger,79,19,235,100,developer
200408,tigger,27,1,262,101,developer
200409,tigger,50,2,312,103,developer
200410,tigger,6,2,318,105,developer
200411,tigger,27,2,345,107,developer
200412,tigger,4,5,349,112,developer
200501,tigger,6,4,355,116,developer
200502,tigger,18,,373,116,developer
200503,tigger,37,7,410,123,developer
200504,tigger,10,,420,123,developer
200505,tigger,1,,421,123,developer
200506,tigger,13,1,434,124,developer
200507,tigger,26,1,460,125,developer
200508,tigger,41,5,501,130,developer
200509,tigger,9,1,510,131,developer
200510,tigger,,1,510,132,developer
200512,tigger,,1,510,133,developer
200602,tigger,,1,510,134,developer
200603,tigger,2,,512,134,developer
200604,tigger,,1,512,135,developer
200605,tigger,,,512,135,retired
200310,deathwing00,,5,0,5,recruit
200311,deathwing00,,1,0,6,recruit
200401,deathwing00,,3,0,9,recruit
200403,deathwing00,,1,0,10,recruit
200406,deathwing00,,1,0,11,recruit
200407,deathwing00,,1,0,12,recruit
200408,deathwing00,,5,0,17,recruit
200501,deathwing00,,1,0,18,recruit
200502,deathwing00,,5,0,23,recruit
200503,deathwing00,,2,0,25,recruit
200504,deathwing00,,5,0,30,recruit
200506,deathwing00,,1,0,31,recruit
200507,deathwing00,,2,0,33,developer
200508,deathwing00,2,,2,33,developer
200509,deathwing00,2,1,4,34,developer
200603,deathwing00,1,,5,34,developer
200604,deathwing00,97,13,102,47,developer
200606,deathwing00,7,2,109,49,developer
200607,deathwing00,13,9,122,58,developer
200608,deathwing00,73,16,195,74,developer
200609,deathwing00,447,34,642,108,developer
200610,deathwing00,150,30,792,138,developer
200611,deathwing00,51,15,843,153,developer
200612,deathwing00,54,4,897,157,developer
200701,deathwing00,33,10,930,167,developer
200702,deathwing00,15,3,945,170,developer
200703,deathwing00,92,6,1037,176,developer
200704,deathwing00,4,1,1041,177,developer
200705,deathwing00,,1,1041,178,developer
200706,deathwing00,15,3,1056,181,developer
200707,deathwing00,,1,1056,182,developer
200710,deathwing00,8,1,1064,183,developer
200711,deathwing00,,1,1064,184,developer
200801,deathwing00,5,,1069,184,developer
200802,deathwing00,,1,1069,185,developer
200803,deathwing00,20,4,1089,189,developer
200804,deathwing00,6,3,1095,192,developer
200805,deathwing00,17,7,1112,199,developer
200807,deathwing00,11,3,1123,202,developer
200809,deathwing00,3,1,1126,203,developer
200810,deathwing00,5,2,1131,205,developer
200811,deathwing00,,4,1131,209,developer
200901,deathwing00,3,1,1134,210,developer
200902,deathwing00,13,3,1147,213,developer
200903,deathwing00,36,1,1183,214,developer
200904,deathwing00,11,2,1194,216,developer
200905,deathwing00,4,3,1198,219,developer
200906,deathwing00,12,2,1210,221,developer
200907,deathwing00,3,,1213,221,developer
200908,deathwing00,,1,1213,222,developer
200909,deathwing00,4,,1217,222,developer
200910,deathwing00,6,4,1223,226,developer
200911,deathwing00,1,,1224,226,developer
200912,deathwing00,3,,1227,226,developer
201002,deathwing00,3,,1230,226,developer
201003,deathwing00,16,,1246,226,developer
201004,deathwing00,8,3,1254,229,developer
201008,deathwing00,,1,1254,230,developer
200310,eradicator,,1,0,1,recruit
200311,eradicator,,1,0,2,recruit
200312,eradicator,,2,0,4,recruit
200401,eradicator,96,29,96,33,developer
200402,eradicator,856,169,952,202,developer
200403,eradicator,2267,154,3219,356,developer
200404,eradicator,2187,125,5406,481,developer
200405,eradicator,590,69,5996,550,developer
200406,eradicator,914,99,6910,649,developer
200407,eradicator,5069,88,11979,737,developer
200408,eradicator,183,26,12162,763,developer
200409,eradicator,1735,99,13897,862,developer
200410,eradicator,1412,92,15309,954,developer
200411,eradicator,1295,71,16604,1025,developer
200412,eradicator,1091,55,17695,1080,developer
200501,eradicator,8283,71,25978,1151,developer
200502,eradicator,937,73,26915,1224,developer
200503,eradicator,769,56,27684,1280,developer
200504,eradicator,845,76,28529,1356,developer
200505,eradicator,237,37,28766,1393,developer
200506,eradicator,118,11,28884,1404,developer
200507,eradicator,727,66,29611,1470,developer
200508,eradicator,541,12,30152,1482,developer
200509,eradicator,403,3,30555,1485,developer
200510,eradicator,518,37,31073,1522,developer
200511,eradicator,78,3,31151,1525,developer
200512,eradicator,6,2,31157,1527,developer
200601,eradicator,96,6,31253,1533,developer
200602,eradicator,18,1,31271,1534,developer
200603,eradicator,216,38,31487,1572,developer
200604,eradicator,215,3,31702,1575,developer
200605,eradicator,73,5,31775,1580,developer
200606,eradicator,257,15,32032,1595,developer
200608,eradicator,10,4,32042,1599,developer
200609,eradicator,7,,32049,1599,developer
200610,eradicator,38,3,32087,1602,developer
200702,eradicator,7,1,32094,1603,developer
200703,eradicator,55,6,32149,1609,developer
200704,eradicator,17,,32166,1609,developer
200705,eradicator,70,1,32236,1610,developer
200706,eradicator,36,2,32272,1612,developer
200707,eradicator,70,1,32342,1613,developer
200708,eradicator,3,2,32345,1615,developer
200709,eradicator,,1,32345,1616,developer
200710,eradicator,14,2,32359,1618,developer
200711,eradicator,3,,32362,1618,developer
200712,eradicator,36,4,32398,1622,developer
200801,eradicator,18,2,32416,1624,developer
200803,eradicator,,1,32416,1625,developer
200804,eradicator,,1,32416,1626,developer
200810,eradicator,,,32416,1626,retired
200811,eradicator,,1,32416,1627,retired
201102,eradicator,,1,32416,1628,retired
200402,jhuebel,64,18,64,18,developer
200403,jhuebel,326,105,390,123,developer
200404,jhuebel,356,26,746,149,developer
200405,jhuebel,216,65,962,214,developer
200406,jhuebel,298,11,1260,225,developer
200407,jhuebel,23,3,1283,228,developer
200408,jhuebel,64,21,1347,249,developer
200409,jhuebel,23,,1370,249,developer
200410,jhuebel,54,,1424,249,developer
200411,jhuebel,62,14,1486,263,developer
200412,jhuebel,188,11,1674,274,developer
200501,jhuebel,35,2,1709,276,developer
200502,jhuebel,1,,1710,276,developer
200503,jhuebel,1,,1711,276,developer
200505,jhuebel,1,,1712,276,developer
200506,jhuebel,,1,1712,277,developer
200512,jhuebel,9,3,1721,280,developer
200601,jhuebel,,1,1721,281,developer
200604,jhuebel,6,,1727,281,developer
200605,jhuebel,31,1,1758,282,developer
200606,jhuebel,9,2,1767,284,developer
200607,jhuebel,6,,1773,284,developer
200608,jhuebel,11,1,1784,285,developer
200609,jhuebel,33,5,1817,290,developer
200610,jhuebel,28,,1845,290,retired
200708,jhuebel,,1,1845,291,retired
200709,jhuebel,,1,1845,292,retired
200801,jhuebel,,2,1845,294,retired
200803,jhuebel,,1,1845,295,retired
200806,jhuebel,,1,1845,296,retired
200808,jhuebel,,1,1845,297,retired
200811,jhuebel,,1,1845,298,retired
201007,jhuebel,,2,1845,300,retired
201206,jhuebel,,1,1845,301,retired
200404,jkt,,1,0,1,recruit
200410,jkt,,1,0,2,recruit
200504,jkt,,1,0,3,recruit
200505,jkt,,2,0,5,recruit
200506,jkt,,3,0,8,recruit
200507,jkt,79,7,79,15,developer
200508,jkt,35,1,114,16,developer
200509,jkt,45,12,159,28,developer
200510,jkt,50,10,209,38,developer
200511,jkt,60,3,269,41,developer
200512,jkt,78,16,347,57,developer
200601,jkt,102,7,449,64,developer
200602,jkt,19,6,468,70,developer
200603,jkt,38,8,506,78,developer
200604,jkt,23,2,529,80,developer
200605,jkt,10,,539,80,developer
200606,jkt,19,2,558,82,developer
200607,jkt,21,1,579,83,developer
200608,jkt,10,,589,83,developer
200609,jkt,20,5,609,88,developer
200610,jkt,4,3,613,91,developer
200611,jkt,,2,613,93,developer
200612,jkt,7,1,620,94,developer
200701,jkt,1,1,621,95,developer
200702,jkt,,2,621,97,developer
200703,jkt,11,2,632,99,developer
200704,jkt,7,3,639,102,developer
200705,jkt,1,,640,102,developer
200706,jkt,16,9,656,111,developer
200707,jkt,19,7,675,118,developer
200708,jkt,7,1,682,119,developer
200709,jkt,1,1,683,120,developer
200710,jkt,2,1,685,121,developer
200711,jkt,3,2,688,123,developer
200712,jkt,,7,688,130,developer
200801,jkt,11,2,699,132,developer
200802,jkt,2,1,701,133,developer
200803,jkt,10,1,711,134,developer
200804,jkt,2,33,713,167,developer
200805,jkt,,36,713,203,developer
200806,jkt,2,2,715,205,developer
200807,jkt,,3,715,208,developer
200808,jkt,1,2,716,210,developer
200809,jkt,3,3,719,213,developer
200810,jkt,3,1,722,214,developer
200811,jkt,1,9,723,223,developer
200812,jkt,1,1,724,224,developer
200901,jkt,,2,724,226,developer
200902,jkt,1,2,725,228,developer
200903,jkt,2,1,727,229,developer
200905,jkt,,1,727,230,developer
200906,jkt,,2,727,232,developer
200910,jkt,,1,727,233,developer
201002,jkt,4,,731,233,developer
201003,jkt,1,1,732,234,developer
201006,jkt,1,1,733,235,developer
201007,jkt,2,1,735,236,developer
201009,jkt,3,1,738,237,developer
201012,jkt,1,,739,237,developer
201102,jkt,2,2,741,239,developer
201104,jkt,2,1,743,240,developer
201105,jkt,,1,743,241,developer
201107,jkt,,1,743,242,developer
201108,jkt,11,2,754,244,developer
201204,jkt,,1,754,245,developer
201210,jkt,,1,754,246,developer
201312,jkt,,1,754,247,developer
201401,jkt,,2,754,249,developer
200405,dostrow,95,,95,0,developer
200406,dostrow,40,,135,0,developer
200407,dostrow,14,,149,0,developer
200411,dostrow,27,,176,0,developer
200501,dostrow,3,,179,0,developer
200503,dostrow,62,4,241,4,developer
200504,dostrow,76,,317,4,developer
200505,dostrow,3,,320,4,developer
200506,dostrow,6,,326,4,developer
200507,dostrow,231,,557,4,developer
200508,dostrow,1,,558,4,developer
200509,dostrow,,1,558,5,developer
200510,dostrow,23,1,581,6,developer
200511,dostrow,24,1,605,7,developer
200512,dostrow,149,2,754,9,developer
200601,dostrow,47,,801,9,developer
200602,dostrow,5,1,806,10,developer
200603,dostrow,2,,808,10,developer
200604,dostrow,174,13,982,23,developer
200607,dostrow,58,4,1040,27,developer
200608,dostrow,23,,1063,27,developer
200609,dostrow,6,1,1069,28,developer
200610,dostrow,1,,1070,28,developer
200701,dostrow,3,,1073,28,developer
200708,dostrow,,1,1073,29,developer
201011,dostrow,,,1073,29,retired
200405,spb,,1,0,1,recruit
200410,spb,45,1,45,2,developer
200411,spb,184,,229,2,developer
200412,spb,30,2,259,4,developer
200501,spb,207,3,466,7,developer
200502,spb,15,2,481,9,developer
200503,spb,168,5,649,14,developer
200504,spb,36,1,685,15,developer
200505,spb,213,4,898,19,developer
200506,spb,15,1,913,20,developer
200507,spb,19,3,932,23,developer
200508,spb,18,1,950,24,developer
200509,spb,7,,957,24,developer
200510,spb,22,,979,24,developer
200512,spb,3,3,982,27,developer
200601,spb,30,,1012,27,developer
200602,spb,41,2,1053,29,developer
200603,spb,19,,1072,29,developer
200605,spb,17,,1089,29,developer
200606,spb,5,1,1094,30,developer
200607,spb,23,,1117,30,developer
200608,spb,13,2,1130,32,developer
200609,spb,29,2,1159,34,developer
200610,spb,21,,1180,34,developer
200611,spb,4,2,1184,36,developer
200612,spb,11,1,1195,37,developer
200701,spb,8,3,1203,40,developer
200702,spb,10,3,1213,43,developer
200703,spb,23,7,1236,50,developer
200704,spb,4,27,1240,77,developer
200706,spb,12,2,1252,79,developer
200707,spb,,1,1252,80,developer
200710,spb,,2,1252,82,developer
200801,spb,10,,1262,82,developer
200802,spb,6,1,1268,83,developer
200803,spb,1,,1269,83,developer
200804,spb,4,1,1273,84,retired
200310,kaiowas,,1,0,1,recruit
200401,kaiowas,,1,0,2,recruit
200404,kaiowas,,1,0,3,recruit
200406,kaiowas,,1,0,4,recruit
200407,kaiowas,,1,0,5,recruit
200409,kaiowas,,1,0,6,developer
200410,kaiowas,226,12,226,18,developer
200411,kaiowas,392,5,618,23,developer
200412,kaiowas,151,3,769,26,developer
200501,kaiowas,160,3,929,29,developer
200502,kaiowas,218,3,1147,32,developer
200503,kaiowas,69,2,1216,34,developer
200504,kaiowas,154,1,1370,35,developer
200505,kaiowas,144,2,1514,37,developer
200506,kaiowas,316,,1830,37,developer
200507,kaiowas,22,3,1852,40,developer
200508,kaiowas,93,3,1945,43,developer
200509,kaiowas,124,,2069,43,developer
200510,kaiowas,115,,2184,43,developer
200511,kaiowas,133,4,2317,47,developer
200512,kaiowas,67,3,2384,50,developer
200601,kaiowas,8,1,2392,51,developer
200602,kaiowas,6,1,2398,52,developer
200603,kaiowas,7,,2405,52,developer
200604,kaiowas,6,1,2411,53,developer
200605,kaiowas,13,,2424,53,developer
200606,kaiowas,61,4,2485,57,developer
200607,kaiowas,16,1,2501,58,developer
200609,kaiowas,18,2,2519,60,developer
200610,kaiowas,8,1,2527,61,developer
200611,kaiowas,22,1,2549,62,developer
200612,kaiowas,10,,2559,62,developer
200701,kaiowas,7,,2566,62,developer
200702,kaiowas,3,,2569,62,developer
200703,kaiowas,14,1,2583,63,developer
200705,kaiowas,,1,2583,64,developer
200706,kaiowas,45,5,2628,69,developer
200707,kaiowas,28,2,2656,71,developer
200709,kaiowas,,,2656,71,retired
200406,halcy0n,,1,0,1,recruit
200503,halcy0n,30,7,30,8,developer
200504,halcy0n,45,13,75,21,developer
200505,halcy0n,70,12,145,33,developer
200506,halcy0n,154,7,299,40,developer
200507,halcy0n,88,9,387,49,developer
200508,halcy0n,118,18,505,67,developer
200509,halcy0n,391,11,896,78,developer
200510,halcy0n,1646,19,2542,97,developer
200511,halcy0n,456,28,2998,125,developer
200512,halcy0n,561,128,3559,253,developer
200601,halcy0n,903,36,4462,289,developer
200602,halcy0n,508,27,4970,316,developer
200603,halcy0n,687,46,5657,362,developer
200604,halcy0n,570,59,6227,421,developer
200605,halcy0n,405,48,6632,469,developer
200606,halcy0n,106,15,6738,484,developer
200607,halcy0n,,1,6738,485,developer
200608,halcy0n,,3,6738,488,developer
200609,halcy0n,,1,6738,489,developer
200611,halcy0n,,1,6738,490,developer
200703,halcy0n,,2,6738,492,developer
200704,halcy0n,,1,6738,493,developer
200711,halcy0n,,6,6738,499,developer
200712,halcy0n,26,14,6764,513,developer
200801,halcy0n,21,11,6785,524,developer
200802,halcy0n,28,2,6813,526,developer
200803,halcy0n,43,10,6856,536,developer
200804,halcy0n,21,18,6877,554,developer
200805,halcy0n,176,12,7053,566,developer
200806,halcy0n,,1,7053,567,developer
200807,halcy0n,25,4,7078,571,developer
200808,halcy0n,7,1,7085,572,developer
200809,halcy0n,37,6,7122,578,developer
200810,halcy0n,20,14,7142,592,developer
200811,halcy0n,37,15,7179,607,developer
200812,halcy0n,18,6,7197,613,developer
200901,halcy0n,40,12,7237,625,developer
200903,halcy0n,3,4,7240,629,developer
200904,halcy0n,52,42,7292,671,developer
200905,halcy0n,142,62,7434,733,developer
200906,halcy0n,28,11,7462,744,developer
200907,halcy0n,208,33,7670,777,developer
200908,halcy0n,92,18,7762,795,developer
200909,halcy0n,6,,7768,795,developer
200910,halcy0n,558,4,8326,799,developer
200911,halcy0n,52,3,8378,802,developer
200912,halcy0n,35,,8413,802,developer
201002,halcy0n,81,4,8494,806,developer
201003,halcy0n,60,35,8554,841,developer
201004,halcy0n,63,15,8617,856,developer
201005,halcy0n,23,,8640,856,developer
201006,halcy0n,39,3,8679,859,developer
201007,halcy0n,17,2,8696,861,developer
201008,halcy0n,13,4,8709,865,developer
201009,halcy0n,10,7,8719,872,developer
201010,halcy0n,90,8,8809,880,developer
201011,halcy0n,238,38,9047,918,developer
201101,halcy0n,4,,9051,918,developer
201102,halcy0n,9,,9060,918,developer
201104,halcy0n,44,1,9104,919,developer
201105,halcy0n,69,2,9173,921,developer
201106,halcy0n,13,3,9186,924,developer
201107,halcy0n,288,43,9474,967,developer
201108,halcy0n,15,1,9489,968,developer
201109,halcy0n,22,,9511,968,developer
201110,halcy0n,3,1,9514,969,developer
201111,halcy0n,,1,9514,970,developer
201112,halcy0n,316,31,9830,1001,developer
201201,halcy0n,44,7,9874,1008,developer
201202,halcy0n,,1,9874,1009,developer
201205,halcy0n,194,12,10068,1021,developer
201206,halcy0n,,1,10068,1022,developer
201208,halcy0n,,1,10068,1023,developer
201308,halcy0n,8,4,10076,1027,developer
200409,kito,93,,93,0,developer
200410,kito,94,1,187,1,developer
200411,kito,142,3,329,4,developer
200412,kito,3,,332,4,developer
200501,kito,3,1,335,5,developer
200502,kito,138,4,473,9,developer
200503,kito,29,7,502,16,developer
200504,kito,72,6,574,22,developer
200505,kito,26,,600,22,developer
200506,kito,5,6,605,28,developer
200507,kito,143,14,748,42,developer
200508,kito,104,10,852,52,developer
200509,kito,51,19,903,71,developer
200510,kito,21,3,924,74,developer
200601,kito,33,,957,74,developer
200602,kito,8,,965,74,developer
200603,kito,26,11,991,85,developer
200609,kito,,1,991,86,developer
200610,kito,,,991,86,retired
200703,kito,,2,991,88,retired
200802,kito,,1,991,89,retired
200502,anpereir,,,0,0,developer
200503,anpereir,17,,17,0,developer
200504,anpereir,37,,54,0,developer
200505,anpereir,4,,58,0,developer
200506,anpereir,25,,83,0,developer
200507,anpereir,11,,94,0,developer
200508,anpereir,27,,121,0,developer
200509,anpereir,22,,143,0,developer
200510,anpereir,27,,170,0,developer
200511,anpereir,25,,195,0,developer
200512,anpereir,7,,202,0,developer
200601,anpereir,6,,208,0,developer
200602,anpereir,14,,222,0,developer
200603,anpereir,24,,246,0,developer
200604,anpereir,4,,250,0,developer
200605,anpereir,10,,260,0,developer
200606,anpereir,11,,271,0,developer
200607,anpereir,20,,291,0,developer
200609,anpereir,14,,305,0,developer
200610,anpereir,8,,313,0,retired
200701,anpereir,3,,316,0,retired
200306,dberkholz,,1,0,1,developer
200307,dberkholz,,14,0,15,developer
200308,dberkholz,,1,0,16,developer
200309,dberkholz,,14,0,30,developer
200310,dberkholz,,16,0,46,developer
200311,dberkholz,,22,0,68,developer
200312,dberkholz,,22,0,90,developer
200401,dberkholz,,14,0,104,developer
200402,dberkholz,,28,0,132,developer
200403,dberkholz,,34,0,166,developer
200404,dberkholz,,49,0,215,developer
200405,dberkholz,,21,0,236,developer
200406,dberkholz,,35,0,271,developer
200407,dberkholz,,20,0,291,developer
200408,dberkholz,,11,0,302,developer
200409,dberkholz,,39,0,341,developer
200410,dberkholz,,49,0,390,developer
200411,dberkholz,,35,0,425,developer
200412,dberkholz,,25,0,450,developer
200501,dberkholz,,74,0,524,developer
200502,dberkholz,,42,0,566,developer
200503,dberkholz,,18,0,584,developer
200504,dberkholz,,35,0,619,developer
200505,dberkholz,,78,0,697,developer
200506,dberkholz,,17,0,714,developer
200507,dberkholz,,17,0,731,developer
200508,dberkholz,,10,0,741,developer
200509,dberkholz,,26,0,767,developer
200510,dberkholz,,47,0,814,developer
200511,dberkholz,,49,0,863,developer
200512,dberkholz,,31,0,894,developer
200601,dberkholz,,28,0,922,developer
200602,dberkholz,,33,0,955,developer
200603,dberkholz,,80,0,1035,developer
200604,dberkholz,,62,0,1097,developer
200605,dberkholz,,15,0,1112,developer
200606,dberkholz,,46,0,1158,developer
200607,dberkholz,387,36,387,1194,developer
200608,dberkholz,450,34,837,1228,developer
200609,dberkholz,1105,56,1942,1284,developer
200610,dberkholz,929,32,2871,1316,developer
200611,dberkholz,166,18,3037,1334,developer
200612,dberkholz,183,11,3220,1345,developer
200701,dberkholz,439,11,3659,1356,developer
200702,dberkholz,,1,3659,1357,developer
200703,dberkholz,4,2,3663,1359,developer
200704,dberkholz,259,13,3922,1372,developer
200705,dberkholz,140,13,4062,1385,developer
200706,dberkholz,151,14,4213,1399,developer
200707,dberkholz,1381,,5594,1399,developer
200708,dberkholz,139,38,5733,1437,developer
200709,dberkholz,404,14,6137,1451,developer
200710,dberkholz,560,33,6697,1484,developer
200711,dberkholz,136,12,6833,1496,developer
200712,dberkholz,74,11,6907,1507,developer
200801,dberkholz,722,16,7629,1523,developer
200802,dberkholz,207,4,7836,1527,developer
200803,dberkholz,276,12,8112,1539,developer
200804,dberkholz,189,10,8301,1549,developer
200805,dberkholz,166,31,8467,1580,developer
200806,dberkholz,317,15,8784,1595,developer
200807,dberkholz,215,31,8999,1626,developer
200808,dberkholz,45,12,9044,1638,developer
200809,dberkholz,136,8,9180,1646,developer
200810,dberkholz,53,4,9233,1650,developer
200811,dberkholz,82,6,9315,1656,developer
200812,dberkholz,16,1,9331,1657,developer
200901,dberkholz,200,4,9531,1661,developer
200902,dberkholz,61,7,9592,1668,developer
200903,dberkholz,26,2,9618,1670,developer
200904,dberkholz,4,,9622,1670,developer
200905,dberkholz,23,2,9645,1672,developer
200906,dberkholz,2,,9647,1672,developer
200907,dberkholz,16,3,9663,1675,developer
200908,dberkholz,3,12,9666,1687,developer
200909,dberkholz,,2,9666,1689,developer
200911,dberkholz,,2,9666,1691,developer
201002,dberkholz,,2,9666,1693,developer
201003,dberkholz,10,,9676,1693,developer
201004,dberkholz,27,,9703,1693,developer
201005,dberkholz,1,,9704,1693,developer
201008,dberkholz,7,3,9711,1696,developer
201009,dberkholz,4,,9715,1696,developer
201011,dberkholz,1,,9716,1696,developer
201012,dberkholz,4,1,9720,1697,developer
201101,dberkholz,11,,9731,1697,developer
201102,dberkholz,1,,9732,1697,developer
201103,dberkholz,24,2,9756,1699,developer
201104,dberkholz,1,1,9757,1700,developer
201105,dberkholz,1,,9758,1700,developer
201106,dberkholz,2,,9760,1700,developer
201107,dberkholz,1,,9761,1700,developer
201108,dberkholz,9,3,9770,1703,developer
201109,dberkholz,2,,9772,1703,developer
201203,dberkholz,7,,9779,1703,developer
201204,dberkholz,2,1,9781,1704,developer
201205,dberkholz,4,,9785,1704,developer
201207,dberkholz,,1,9785,1705,developer
201208,dberkholz,,1,9785,1706,developer
201303,dberkholz,3,,9788,1706,developer
201304,dberkholz,3,,9791,1706,developer
201305,dberkholz,2,,9793,1706,developer
200407,ticho,,1,0,1,recruit
200408,ticho,19,6,19,7,developer
200409,ticho,459,52,478,59,developer
200410,ticho,191,35,669,94,developer
200411,ticho,339,25,1008,119,developer
200412,ticho,310,30,1318,149,developer
200501,ticho,357,30,1675,179,developer
200502,ticho,179,9,1854,188,developer
200503,ticho,165,13,2019,201,developer
200504,ticho,174,8,2193,209,developer
200505,ticho,359,39,2552,248,developer
200506,ticho,369,30,2921,278,developer
200507,ticho,273,10,3194,288,developer
200508,ticho,299,12,3493,300,developer
200509,ticho,294,15,3787,315,developer
200510,ticho,424,14,4211,329,developer
200511,ticho,144,10,4355,339,developer
200512,ticho,193,9,4548,348,developer
200601,ticho,240,5,4788,353,developer
200602,ticho,296,9,5084,362,developer
200603,ticho,286,12,5370,374,developer
200604,ticho,113,7,5483,381,developer
200605,ticho,43,3,5526,384,developer
200606,ticho,128,15,5654,399,developer
200607,ticho,84,8,5738,407,developer
200608,ticho,222,9,5960,416,developer
200609,ticho,375,22,6335,438,developer
200610,ticho,395,45,6730,483,developer
200611,ticho,276,13,7006,496,developer
200612,ticho,668,21,7674,517,developer
200701,ticho,446,23,8120,540,developer
200702,ticho,238,14,8358,554,developer
200703,ticho,1100,33,9458,587,developer
200704,ticho,651,31,10109,618,developer
200705,ticho,565,11,10674,629,developer
200706,ticho,111,9,10785,638,developer
200707,ticho,122,8,10907,646,developer
200708,ticho,443,15,11350,661,developer
200709,ticho,168,15,11518,676,developer
200710,ticho,34,5,11552,681,developer
200711,ticho,200,1,11752,682,developer
200712,ticho,264,8,12016,690,developer
200801,ticho,27,4,12043,694,developer
200802,ticho,157,6,12200,700,developer
200803,ticho,40,1,12240,701,developer
200804,ticho,24,3,12264,704,developer
200805,ticho,4,1,12268,705,retired
200904,ticho,,1,12268,706,retired
201105,ticho,,1,12268,707,retired
200502,rocket,38,,38,0,developer
200503,rocket,13,4,51,4,developer
200504,rocket,288,4,339,8,developer
200505,rocket,37,4,376,12,developer
200506,rocket,53,8,429,20,developer
200507,rocket,164,27,593,47,developer
200508,rocket,79,1,672,48,developer
200509,rocket,6,,678,48,developer
200510,rocket,53,,731,48,developer
200511,rocket,102,10,833,58,developer
200512,rocket,146,,979,58,developer
200601,rocket,90,1,1069,59,developer
200602,rocket,37,2,1106,61,developer
200603,rocket,2,1,1108,62,developer
200604,rocket,51,10,1159,72,developer
200605,rocket,9,,1168,72,developer
200609,rocket,7,4,1175,76,developer
200611,rocket,,1,1175,77,developer
200705,rocket,7,,1182,77,retired
200401,cam,,1,0,1,recruit
200402,cam,,1,0,2,recruit
200403,cam,11,1,11,3,developer
200404,cam,71,,82,3,developer
200405,cam,24,7,106,10,developer
200406,cam,5,,111,10,developer
200407,cam,4,3,115,13,developer
200408,cam,118,8,233,21,developer
200410,cam,40,1,273,22,developer
200412,cam,22,,295,22,developer
200501,cam,39,11,334,33,developer
200502,cam,14,2,348,35,developer
200503,cam,23,5,371,40,developer
200504,cam,12,6,383,46,developer
200505,cam,10,6,393,52,developer
200506,cam,43,2,436,54,developer
200507,cam,32,1,468,55,developer
200508,cam,23,1,491,56,developer
200509,cam,14,,505,56,developer
200511,cam,5,,510,56,developer
200512,cam,3,,513,56,developer
200601,cam,9,2,522,58,developer
200603,cam,6,,528,58,developer
200604,cam,2,,530,58,developer
200605,cam,5,1,535,59,developer
200607,cam,3,,538,59,developer
200608,cam,16,,554,59,developer
200609,cam,1,,555,59,developer
200610,cam,23,3,578,62,developer
200611,cam,12,1,590,63,developer
200612,cam,15,1,605,64,developer
200701,cam,35,,640,64,developer
200702,cam,7,1,647,65,developer
200703,cam,123,41,770,106,developer
200704,cam,33,2,803,108,developer
200705,cam,58,2,861,110,developer
200706,cam,24,16,885,126,developer
200708,cam,27,3,912,129,developer
200709,cam,66,23,978,152,developer
200710,cam,16,1,994,153,developer
200711,cam,31,,1025,153,developer
200712,cam,2,,1027,153,developer
200802,cam,2,,1029,153,developer
200803,cam,7,1,1036,154,developer
200804,cam,36,1,1072,155,developer
200805,cam,1,1,1073,156,developer
200806,cam,1,1,1074,157,developer
200807,cam,31,3,1105,160,developer
200809,cam,10,3,1115,163,developer
200810,cam,9,4,1124,167,developer
200812,cam,1,,1125,167,developer
200901,cam,6,,1131,167,developer
200902,cam,26,,1157,167,developer
200903,cam,5,,1162,167,developer
200904,cam,7,,1169,167,developer
200906,cam,1,,1170,167,developer
200910,cam,6,4,1176,171,developer
200911,cam,9,4,1185,175,developer
201011,cam,1,,1186,175,developer
201012,cam,4,,1190,175,developer
201108,cam,85,,1275,175,developer
201109,cam,3,,1278,175,developer
201111,cam,2,1,1280,176,developer
201112,cam,1,1,1281,177,developer
201201,cam,3,3,1284,180,developer
201204,cam,3,1,1287,181,developer
201302,cam,,,1287,181,retired
200401,zx,,,0,0,developer
200402,zx,456,87,456,87,developer
200403,zx,771,66,1227,153,developer
200404,zx,522,46,1749,199,developer
200405,zx,331,46,2080,245,developer
200406,zx,126,7,2206,252,developer
200407,zx,43,9,2249,261,developer
200408,zx,417,15,2666,276,developer
200409,zx,,1,2666,277,developer
200411,zx,5,1,2671,278,developer
200412,zx,13,8,2684,286,developer
200501,zx,9,1,2693,287,developer
200504,zx,19,3,2712,290,developer
200603,zx,6,1,2718,291,developer
200703,zx,,,2718,291,retired
200408,xmerlin,,1,0,1,recruit
200412,xmerlin,,,0,1,developer
200501,xmerlin,343,15,343,16,developer
200502,xmerlin,59,2,402,18,developer
200503,xmerlin,384,6,786,24,developer
200504,xmerlin,70,4,856,28,developer
200506,xmerlin,155,4,1011,32,developer
200507,xmerlin,13,1,1024,33,developer
200508,xmerlin,44,1,1068,34,developer
200509,xmerlin,195,6,1263,40,developer
200510,xmerlin,153,3,1416,43,developer
